account,name,total_orders_reward,multiplier
0x435d821ee5b346850545cb18443ca9808a9d47d0,nicabar,14430,5.305625314
0x09c5e9c91edad6f68390f2f5723f7c53319ab689,amimi,14426,5.304118533
0xe0e4b5696dc7719a60c2d80778e42e33abdaabe0,thegoat,14358,5.278503265
0xe96bbb7762d87c1fc5839f595685dbe6ad1fa4b4,dfsdds,14308,5.259668508
0x2168cc47e2c3a4c8d4617c3f25da13d007752c08,errt,14262,5.242340532
0xa217b776335d962f2d9c0ee24e7c894fb2a6373e,god.666,14208,5.221998995
0x54df9eedd4bca708c98a4b2f35e979af9452cfcc,fingeek,14074,5.171521848
0x852f7ebd76c7e7aa3253ac4dd2b24d790208b35b,lorisa,13982,5.136865897
0xb1f3959855648d704f4ae639629a7585432102ae,Blinky,13954,5.126318433
0xf9c18ec5dfeb9af1ed747a2903b841617ffd2ba2,dgbhaiid1,13948,5.124058262
0x97d4efdb5e44ae1e65e44bb72471058c42738306,97d4e,13911,5.110120542
0xac76357da2effd6f6a81d5beef3ba6a25b5e4ee0,dgbhaiid,13592,4.989954797
0x949b1fe8b1860e51fa550131eb0f21729ca68a1a,Scissors,13562,4.978653943
0xc8b047c30a987e87ae0df0660800157b81577506,zefro,13378,4.909342039
0x0db2d1e50ba864ae9e325fcea6150c49aa51c616,connan,13252,4.861878453
0xfe1c41e20c1b5bb15da6541ded0471ccf56b64c4,phizer,13228,4.85283777
0x470f55c56176df5285c62d34176aeab8ce5fa35f,legless and godless,13188,4.837769965
0x05f1b900ede286fb7565d8b0298562eb1ecdf77f,rollcamsa,13060,4.789552988
0x8d138c01765483cb79d787ce5933f609cbfdabcf,Humanpylon,12956,4.750376695
0x8e9e366a95dea6f1aa1ce37dced526b27a2e63bc,blinker fluid,12956,4.750376695
0x9ba66d32e58f7bd5009778c4ca6c997a360da5da,dgbhaiid6,12872,4.718734304
0x5abdeb62a2ab02b83235cc4fe974800f449cbdaa,azakalam,12740,4.669010547
0xc31db2e710192791b65de43d4b84886a6d770322,fingrok,12722,4.662230035
0x82d09a6a6b7d6749db42d79399ef477f0dda45bb,82d09,12628,4.626820693
0xa71369bffce842e0d15addb2ee0a124700f7240a,dark,12548,4.596685083
0x6f1aad87bb607aab7b2d77de112a676cb49a0f65,0x6g1,12542,4.594424912
0x9721ca5df1a41bd385c4a6ed9d02164eca2ccaf5,dghbdqiw2,12502,4.579357107
0x6dd4766778fe61836ea8a2869e06a85fd707b389,MEATBAG88,12462,4.564289302
0xaa168eb909381fd7cd686d6dd1ecda6095f839cf,motorola,12352,4.522852838
0xaa7608917e5555fba57623f13b31f79380e61f6e,Foothehappy,12322,4.511551984
0x7c93d0164c0fb823eb6841edaf564b34ae5f2bf7,cdseven,12282,4.496484179
0x7c8ac31a55d50db15fb79ea8fa002b27192a9fc1,Bigpiss,12238,4.479909593
0x737256e3b6cbb8ddf07d073c22b10bae09c08082,kemaboss,12142,4.443746861
0xbffb59b3512bff6ecb792ffbb8efffa091dcd83b,dooogle,12140,4.442993471
0x8c1c844c52547c65c647c8d5c527254bd9de9c19,dghbdqiw4,12054,4.41059769
0x38bbd375d49d6237984cbfa19719c419af9fe514,dawnxue,11903,4.353716725
0x80f76e4fc20be6dc3c73536ce3ed02121f70b2ec,dgbhaiid4,11884,4.346559518
0xd67c34169b372d5b3932c548a940d4ea74fe7af5,k1ic,11882,4.345806128
0x1768bb1a213ecd473e9fdd4f40bc33f66f736733,lil stump,11845,4.331868408
0x3b348607daac16154257bd7bb04556092809e1db,bigdada,11722,4.285534907
0x1755d87233a397e8fc02ef275e4e783418a5bd16,dghbdqiw5,11638,4.253892516
0xf905d9e1dc09828b6e05abd9d326e507324e8bae,dghbdqiw,11638,4.253892516
0x2d10606b4f1ed4693182bf4e5677ab25c6a4f23b,junn,11632,4.251632346
0x8f87cf667304968a14b61b66e841208caa6df3b2,rory,11496,4.200401808
0x5cd316300e4b01048af69e403668be9d7f07851d,flipdog,11484,4.195881467
0x33ddc093e483592e45c24c7228b307203900dbcf,sdssd,11402,4.164992466
0x59acbe3dbb5a97a320fee35c14995b45ab946d6f,dgbhaiid9,11392,4.161225515
0xabf66d77ed027552298f6081131aa6afa86957da,scat,11350,4.145404319
0x43e7f3d02aa5166ed14209f65ac74c68f962b763,John#125,11260,4.111501758
0xc9c022fcfebe730710ae93ca9247c5ec9d9236d0,frolic,11124,4.06027122
0xb6fa3d50d20aab34a9dbb07349074ab06ac6cc68,b6fa3,11102,4.051983928
0x94bb48ab536b0dd6d196f2bd911135dd7e703b6a,dghbdqiw3,11006,4.015821195
0x503a47280852033dcdbdd113663ff9e6e7a0a338,junger,10854,3.958563536
0xb40969f60bfa246a09593099dace2ddd543254a3,apix,10718,3.907332998
0xb2e0f4dee26cccf1f3a267ad185f212dd3e7a6b1,DIGIT,10572,3.85233551
0x01abab5819cbb66f8586a1107cb073118af21e20,FLOWER,10384,3.781516826
0x50dfe57bd952eb25c98005f5153648a1a9378d57,LOSINA,10346,3.767202411
0xb6198a36b51351fe487a0766b83c6c442132c84c,0xb61,10302,3.750627825
0x1dcd8763c01961c2bbb5ed58c6e51f55b1378589,cameron,10284,3.743847313
0x4f90602d770dd86a51091ef679857d0b844bc9ee,dave,10266,3.737066801
0xc904eab1782e32a8fa1f4ce4f35310434a5bab8e,uytc,10260,3.73480663
0x34704fe91cd7991602b7bfad0f65300e64e32283,LINQIU,10100,3.674535409
0xb0a1e703832b64b6e7552e0e186766fc497ecbf0,bigfish,10088,3.670015068
0x155e9bdaf80d12a9cfa996cdc3e4ef0984a48be0,propanizard,10056,3.657960824
0xd1b31136506960dfd110202abe6a6eadf9b591b5,Bobzero,10004,3.638372677
0x6ab02e6e1307284da34a1e49c56aa8bdccaf36f1,Eldritch Hollows,9940,3.614264189
0x9d5f47ae3e0d2837d46802c12640dab160970a30,will3f,9918,3.605976896
0xc439efd67cdc7545c802c3cad354972e2a9f2350,guts,9872,3.58864892
0x0df3206a98f9fead898cd5bb8ceda5bb8dc9563c,tacyturn,9816,3.567553993
0x55004ae183e5d5048792dd42eb9e0853df9112ea,55004,9792,3.55851331
0x1d1d91c641a5de63c69e3f67a3645be9dc7cc46f,wente,9754,3.544198895
0x907b79a32f2a6e5f66a44eb1adfeb5820fbbab41,shiro,9720,3.531391261
0x5f988037fa14919cb451bb4b8508a1815df95bda,0x5f9,9714,3.52913109
0xf23a9799fe0011acb4326306a539b88644ac19a2,minolius,9640,3.50125565
0xb5291808d86c809771c26ba8f95e300fe6d03779,nolimbstump,9628,3.496735309
0xd5be557d4451b86f7d0adb5b8d727774f588e4f6,mate,9614,3.491461577
0x00650eb180d294db55514cc24f3ff17cf2773298,gokku,9546,3.465846308
0x8b2d84abea4de54c8dda04537730948d51358788,tkws,9424,3.419889503
0x766b8ca3c1939fff92ef0bb57af6f4d504b6b903,dangmy,9302,3.373932697
0xc5ab5dfcc104a9c81d678732241a00272d32ee6a,ckkc,9200,3.335509794
0xfccf6425b712fc2413807ad990a3f16d07893ef2,pale king,9180,3.327975892
0x4ae37842221b1e1e55d8f64aed7f20176ff1d69a,gbao113,9144,3.314414867
0x4939e5e02bac3340562c2089c94251a195ccd2ed,realband,9096,3.296333501
0x543da850a9dfb64bad9af1c0297f2051b65f3ff0,0xfrak,9024,3.269211452
0x13e697951487deb954f9a61b5eec2e44da7838a6,ddgame,9011,3.264314415
0xa85c7138790d881a34b0ddc023c7da25588e5d11,waaa,8994,3.257910598
0xc60a7df0f43a3925707937ace8817bb8259d2269,dekabr,8884,3.216474134
0xb9bb7f9c65a4c6c4eda012d014e8557f7d12c85c,Muba,8807,3.187468609
0xca5d6983600167c4d9d6cfeedda69140cb206707,dhanh,8780,3.17729784
0x330d0b88ca5ba0fc1425af309588ac767897824d,lautaro,8764,3.171270718
0x5790686029107b05a5d8486704520b752ed290ed,xlien,8734,3.159969864
0x29c20a51b39d001a45ce67ecd68c58d0499e58ff,OLD8,8682,3.140381718
0xa1337813843dc2a76ef9e2abfc1f4d4697e4719b,todd,8672,3.136614766
0x7a5e29f82d0bab9bca9e01b42b0e5fbdab8e7c85,10tita,8626,3.119286791
0x9d91afea53bff89c4fb734a78e78fcfc2aadb3d6,brian,8438,3.048468106
0xfc145793e97db9656da87f52366188f72f346692,junkrat,8358,3.018332496
0x155012b32d9881b571b3bdb5e16b5a8b44445a44,shinosuke,8334,3.009291813
0x9d06485485f7e2ea57ded809557f6f4e82c1bcd8,enter game,8315,3.002134606
0xde2437e813037bdea719848ab99d056c29904bd9,capejuga,8271,2.98556002
0x746edb3f271aa7a650fb492b56d5a2030d300181,zeydrm,8190,2.955047715
0x468d033f31ad3033f4adc2c9a0a7be801fabe8c1,pasttm,8174,2.949020593
0xfbbe8c600d6ee8a41bb59933faaddf13dd0a2ca0,fbbe6,8036,2.897036665
0x8165eea2ec7c4f568256225d715e7834afb2c0f1,Lamia,8022,2.891762933
0x0869761abef6dd0f8ed9da297bb1b9a77838b6b0,tehu,7863,2.831868408
0x43fe47c745975aca943babaa8231e478e79a698d,gminh,7780,2.800602712
0x0cd185c22aef93748ac13808d5a053178adb2825,bind,7779,2.800226017
0x1d058e0034ca39497994a9f25b0121e4c6209e50,slimshady,7676,2.761426419
0x340c860a64e225462f9ddee60ef5c6c2cf323f74,kiss,7612,2.737317931
0xe0d5d61a085f281393998f5759bd510eaedd52d6,ngatran,7588,2.728277248
0x7a01a236b5e82f4decbc43d371a2253b11afd2df,joat,7562,2.718483174
0x244fcfbf7f274ceee71b8dfb95c922174efe7e3b,gorked,7442,2.673279759
0x61cdf9ddf8ebdfbed97f32caad875010ec7b5959,rutwq,7398,2.656705173
0xdad990413682de4be1942ed5219333ffe3474b4a,kngoan,7374,2.64766449
0xdaf368a8f8dc0c3fa76d9079f2277003f01ca31a,balen,7364,2.643897539
0xf29ba3eae32d9db6c1a086213abccefdd97fb6c9,Jacobmatters,7356,2.640883978
0x1cbd802c62ae4e44277a7493ac7c88fa07b24913,sparg,7325,2.629206429
0xac21331b4b8a14a7230db1412bed6629da4248d0,sludgy,7254,2.602461075
0x1178c248d3d0b39c84ac3bbdbee33474d70bf5e7,1178c,7228,2.592667002
0x1627a193006aaa11064e5a4dd1470cd6c5b563fd,randy,7223,2.590783526
0x3d2c8d1c8eac457089ac5b3a24ed2aa7136f3774,herro,7221,2.590030136
0x097c991579ffe7a2a31327bb92409b3fb55145de,SALMAN,7210,2.585886489
0xae4e43d7912b6400f5e81d14b970812f712d38c6,Bauletto,7060,2.52938222
0x0e0b5dc9db7bec0b1acfb100e543c99a96375643,vanthu,7044,2.523355098
0xa883e67ce662738e7733b0e7e366df0ed653487c,dhoang,7044,2.523355098
0xd5b3816613a0f29274824061740f3647c2b43077,htrung,7044,2.523355098
0xeb5cd7f76401ff5fb96aad009b9617961ba0e8a6,Dunious,7038,2.521094927
0x2a0e1c741e055d7af4213028ccd69fc77299bad4,leet,7025,2.516197891
0xfd7b48dbf0c2f27846f53b8968f21bc494348c2e,IGUANODON,7008,2.509794073
0x47e8272c80840030af6246f38f5b48cfa91ef86a,zhangfei,7006,2.509040683
0x3dfcd25c80d657a6d84bee47931ae3ead0a2356b,TRICERATOP,7004,2.508287293
0x4eb59614dc4bc9edc26f424ade82ffb5b6297d0c,tyrannosaur,7004,2.508287293
0x5a5e785f91e20eed671401a0721675242c3e46a9,brontozor,7004,2.508287293
0x7b0f30b92a378a55d76e5410cf43ac0f59833e6b,triceratops,7004,2.508287293
0xd0cacd7825b005f89149260a6940642d20f1443e,PTERANODON,7004,2.508287293
0x245ca997ceb4a1b07869d41ea38ef59b0a934b62,Scandalist,6858,2.453289804
0x7ffb82ed06ced2ba4c5971e07a01908fa075c992,ggQUESTAMBASSADOR,6844,2.448016072
0xcff43162df29e4abaedba70d8b69b62da75a254e,flange,6842,2.447262682
0x485652319d5047d47998d901f8285fa279760db6,Kevin,6745,2.410723255
0x19f2051cc3840896f72de33cce45e4e3a926768d,Yelang,6714,2.399045706
0x5c6e6daf1121eed477bcc54bb406c94dce5839e0,peradaban,6702,2.394525364
0x6601a8452510565206c846241de25270e32da8ee,raisya,6702,2.394525364
0xc875c58f56a34ce91b235b1d37480f2d91e82d7b,lukaluka,6702,2.394525364
0x14f4d3d4c273fa678dc9983457471000bafc32b7,tram,6650,2.374937217
0x28b4de9c45af6cb1a5a46c19909108f2bb74a2be,katiewav,6640,2.371170266
